City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
509,Kibala,TD,73.8,scattered clouds,9.1104,18.3463,Prasant Hotels
510,Manadhoo,MV,80.35,broken clouds,5.7667,73.3833,Bon Abri maldives
511,Nguruka,TZ,65.59,overcast clouds,-5.1092,31.0419,RUSULI LODGE
515,Manicore,BR,80.49,overcast clouds,-5.8092,-61.3003,Hotel Durval
516,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
520,Kismayo,SO,77.47,broken clouds,-0.3582,42.5454,Agan-Hotel
521,Uvira,CD,72.1,overcast clouds,-3.4067,29.1458,Hotel Suzana
523,Kilimatinde,TZ,68.95,scattered clouds,-5.85,34.95,
525,Tikapur,NP,67.53,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
528,Umm Lajj,SA,74.03,clear sky,25.0213,37.2685,Moon light Furnished Units
533,Porbandar,IN,77.14,few clouds,21.6422,69.6093,Lords Inn Porbandar
535,La Asuncion,VE,79.39,light rain,11.0333,-63.8628,Colinas de Matasiete
537,Axim,GH,76.8,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
538,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
541,Estelle,US,73.99,clear sky,29.8458,-90.1067,Ohio
542,Westport,US,68.31,overcast clouds,41.1415,-73.3579,The Westport Inn
544,Les Cayes,HT,74.59,clear sky,18.2,-73.75,Villa Orphee
547,West Bay,KY,82.47,scattered clouds,19.3667,-81.4167,Calypso Cove
548,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
552,Grand-Santi,GF,72.7,light rain,4.25,-54.3833,Hotel La Villa Couacou
553,Humaita,BR,79.45,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
554,Callaway,US,72.0,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
555,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
560,Hilton Head Island,US,72.99,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
563,George Town,MY,82.24,few clouds,5.4112,100.3354,Cititel Penang
567,Luis Correia,BR,76.57,overcast clouds,-2.8792,-41.6669,Hotel Amarração
569,Sambava,MG,70.54,clear sky,-14.2667,50.1667,Melrose
572,Arlit,NE,70.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
573,Presidencia Roque Saenz Pena,AR,68.9,broken clouds,-26.7852,-60.4388,Hotel Gualok
575,Puerto Leguizamo,CO,76.84,overcast clouds,-0.1934,-74.7819,la casona de juancho
576,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
577,Lagos,NG,76.06,light rain,6.5833,3.75,
578,Mongoumba,CF,70.11,overcast clouds,3.6415,18.5936,
579,Ambilobe,MG,69.75,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
581,Tumsar,IN,67.5,scattered clouds,21.3833,79.7333,Shiyaswar house
582,Seguela,CI,70.3,scattered clouds,7.9611,-6.6731,Lot 1 jeune fille
583,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
584,Saint-Georges,GD,79.12,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
586,Bentiu,SS,73.99,overcast clouds,9.2333,29.8333,Mandela hôtel
587,Daura,NG,71.1,overcast clouds,11.5538,11.4085,
588,Oistins,BB,79.48,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
