City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Vila Franca Do Campo,PT,2022-10-29 21:08:33,37.7167,-25.4333,18.23,68,100,2.46
131,Uray,RU,2022-10-29 21:08:33,60.1247,64.7758,-0.76,85,100,4.4
132,Carupano,VE,2022-10-29 21:08:34,10.6678,-63.2585,28.27,78,100,3.37
133,Rawson,AR,2022-10-29 21:08:35,-43.3002,-65.1023,12.84,32,94,6.98
134,Channel-Port Aux Basques,CA,2022-10-29 21:08:35,47.5702,-59.1367,9.32,69,4,9.39
135,Berberati,CF,2022-10-29 21:05:12,4.2612,15.7922,20.22,99,100,1.34
136,Havoysund,NO,2022-10-29 21:08:36,70.9963,24.6622,3.13,65,100,11.26
137,Suzun,RU,2022-10-29 21:08:37,53.7841,82.3116,-3.72,67,51,1.53
138,Mitsamiouli,KM,2022-10-29 21:08:37,-11.3847,43.2844,24.69,78,1,2.65
139,Kalmunai,LK,2022-10-29 21:08:38,7.4167,81.8167,25.05,86,92,2.41
140,Najran,SA,2022-10-29 21:09:38,17.4924,44.1277,18.06,25,73,0.69
141,Padang,ID,2022-10-29 21:09:39,-0.9492,100.3543,24.75,87,100,1.14
142,Volnovakha,UA,2022-10-29 21:09:39,47.601,37.4967,9.51,85,100,5.68
143,Mehamn,NO,2022-10-29 21:09:40,71.0357,27.8492,2.95,69,40,12.35
144,Vicuna,CL,2022-10-29 21:09:41,-30.0319,-70.7081,29.32,28,2,3.59
145,Kulu,TR,2022-10-29 21:09:41,39.0951,33.0799,8.33,55,0,3.1
146,Bilma,NE,2022-10-29 21:09:42,18.6853,12.9164,23.72,21,0,4.29
147,Bonavista,CA,2022-10-29 21:09:42,48.6499,-53.1147,10.12,60,14,10.01
148,Ribeira Grande,PT,2022-10-29 21:09:43,38.5167,-28.7,18.21,85,100,7.15
149,Codrington,AU,2022-10-29 21:09:44,-38.2667,141.9667,7.46,92,68,2.86
150,Tessalit,ML,2022-10-29 21:09:44,20.1986,1.0114,24.23,15,0,5.1
151,Moundou,TD,2022-10-29 21:09:45,8.5667,16.0833,24.8,52,58,1.75
152,Qaqortoq,GL,2022-10-29 21:09:45,60.7167,-46.0333,-4.88,82,37,3.26
153,Dubinino,RU,2022-10-29 21:09:46,55.6192,89.0911,-3.59,80,95,4.1
154,Maykor,RU,2022-10-29 21:09:46,59.0059,55.88,0.65,96,100,4.23
155,Caravelas,BR,2022-10-29 21:09:47,-17.7125,-39.2481,24.89,81,0,5.05
156,Visegrad,BA,2022-10-29 21:09:47,43.7847,19.2992,11.47,76,10,0.78
157,Sindor,RU,2022-10-29 21:09:48,62.8629,51.8905,0.69,98,100,3.9
158,Harindanga,IN,2022-10-29 21:09:48,22.0383,88.3214,20.59,71,0,2.96
159,Piterka,RU,2022-10-29 21:09:49,50.6803,47.4454,2.76,89,100,4.47
160,Mananjary,MG,2022-10-29 21:09:50,-21.2167,48.3333,21.9,89,92,2.48
161,Willowmore,ZA,2022-10-29 21:09:50,-33.2926,23.4895,18.05,51,60,2.15
162,Ilulissat,GL,2022-10-29 21:09:51,69.2167,-51.1,0.01,59,100,7.72
163,Olafsvik,IS,2022-10-29 21:09:51,64.8945,-23.7142,6.17,90,100,5.89
164,Amapa,BR,2022-10-29 21:09:52,1.0,-52.0,27.5,72,100,1.61
165,Klaksvik,FO,2022-10-29 21:09:52,62.2266,-6.589,8.51,98,97,8.52
166,Yabrud,SY,2022-10-29 21:09:53,33.9674,36.6574,13.93,47,0,0.81
167,Laguna,US,2022-10-29 21:09:53,38.421,-121.4238,25.05,31,0,3.09
168,Vila Velha,BR,2022-10-29 21:09:54,-20.3297,-40.2925,24.97,89,20,7.72
169,Aksu,CN,2022-10-29 21:09:54,41.1231,80.2644,9.47,35,41,1.62
170,Camacha,PT,2022-10-29 21:09:55,33.0833,-16.3333,19.68,83,20,2.06
171,Mariental,NA,2022-10-29 21:09:55,-24.6333,17.9667,25.7,16,1,4.87
172,Eenhana,NA,2022-10-29 21:05:57,-17.4667,16.3333,21.16,74,99,2.55
173,Tazmalt,DZ,2022-10-29 21:09:56,36.3868,4.3989,20.91,35,28,1.07
174,Sandwick,GB,2022-10-29 21:09:57,60.0,-1.25,11.55,88,12,9.08
175,Bad Hersfeld,DE,2022-10-29 21:09:57,50.8667,9.7,18.15,93,99,1.78
176,Pishin,PK,2022-10-29 21:09:58,30.5803,66.9961,15.77,23,0,1.23
177,Hamilton,US,2022-10-29 21:05:34,39.1834,-84.5333,21.29,38,0,3.6
178,Walvis Bay,NA,2022-10-29 21:09:59,-22.9575,14.5053,15.61,84,46,3.54
179,Ibb,YE,2022-10-29 21:09:59,13.9667,44.1833,15.89,53,74,1.38
180,Ballinrobe,IE,2022-10-29 21:10:00,53.6333,-9.2333,14.3,88,58,6.87
181,Santander,ES,2022-10-29 21:10:00,43.4647,-3.8044,21.37,79,20,1.54
182,Blind River,CA,2022-10-29 21:10:01,46.1834,-82.9582,11.0,66,91,2.68
183,Ostrovnoy,RU,2022-10-29 21:10:02,68.0531,39.5131,5.48,92,100,11.0
184,Yarega,RU,2022-10-29 21:10:03,63.4354,53.5765,0.48,97,100,4.23
